round,heights,series,VL,dipt,morph,г|ҥ,н|ҥ,нь|й,assim,CL,г|к,ч|с,һ|ч,б|м,к|х,һ|с,г|ҕ,final,Com,Total,SIM,ҺАКАЛЫЫ,САХАЛЫЫ,НЬУУЧЧАЛЫЫ,GROUP,POS,,ҺАКАЛЫЫ_ex,САХАЛЫЫ_ex,НЬУУЧЧАЛЫЫ_ex,Agent
,,,,,,,,,,,,,,,,1,,,8,12,67,һыыӈ,сыыҥк,сопли,267,n,организм,һыыӈым кэлэр,сыыҥым кэлэр,у меня текут сопли,
,,,,,,,,,,,,,,,,1,,,,,95,һыыӈтаак,сыыҥтаах,сопливый,267,adj,организм,,,,
,,,,,,,,,,,,,,,,,,,,,0,һыыӈчыт,,"человек, у которого постоянно текут сопли",267,n,организм,,,,1
,,,,,,,,,,,,,,,,,,,,,0,,сыыҥтай,"сопляк, молокосос",267,n,качества человека,,сыыҥтайтан эрэ ыйыппатахпыт!,сопляка мы ещёне спрашивали!,1
,,,,,,,,,,,,,,,,1,,,14,15,93,һэгэр,сэгэр,"милый, дорогой, любимый",268,adj,качества человека,,,,
,,,,,,,,,,,,,,,,1,,,11,12,92,һэрии,сэрии,"война, бой, битва",269,n,отношения,һэриитэ һуок кэм,сэриитэ суох кэм,жизнь без войны,
,,,,,,,,,,,,,,,,,,,,,90,һээ,ээх,да,270,intj,междометие,,,,
,,,,,,,,,,,,,,,,,,,,,100,таай,таай,"угадывать, отгадывать, догадываться",271,v,речь и мышление,,,,
,,,,,,,,,,,,,,,,,,,,,100,таас,таас,камень,272,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,таба,таба,олень,273,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,100,табаһыт,табаһыт,оленевод,273,n,оленеводство,табаһыт ыт,табаһыт ыт,оленегонная собака,1
,,,,,,,,,,,,,,,,,,,,,100,тугут,тугут,оленёнок,274,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,100,таӈара,таҥара,"бог, икона",275,n,духовная культура,,,,
,,,,,,,,,,,,,,,,,,,,,100,тимир,тимир,"железо, металл",277,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,тирии,тирии,"шкура, кожа",278,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,күл,күл,"зола, пепел",279,n,природа,,,,
,,,,,,,,,,,,,,,,,,1,8,9,89,чок <sup>Монг</sup>,чох <sup>Монг</sup>,уголь,280,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,0,чокоо,,"кружка, бокал",281,n,посуда,,,,
,,,,,,,,,,,,,,,,,,,,,0,,курууска <sup>рус</sup>,"кружка, бокал",281,n,посуда,,,,
,,,,,,,,,,,,,,,,,,,,,0,чөл,кутуллубут хаан,кровяная колбаса,282,n,еда,,,,
,,,,,,,,,,,,,,,,,,,,,100,чэбэр,чэбэр,чистый,283,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,0,,ыраас,чистый,283,adj,физические качества,,ыраас соттор,чистое полотенце,
,,,,,,,,,,,,,,,,,,1,,,99,ыаракан,ыарахан,"1. тяжёлый, трудный
2. беременная",284,adj,"физические качества, дети",,,,
,,,,,,,,,,,,,,,,,,,,,0,ыаһак,оонньуу,шутка,285,n,эмоции и чувства,,,,
,,,,,,,,,,,,,,,,,,,,,0,ыаһактаак,оонньуулаах,шутливый,285,adj,эмоции и чувства,ыаһактаак киһи,оонньуулаах киһи,шутник,
,,,,,,,,,,,,,,,,,,,,,100,эһэ,эһэ,дед,288,n,отношения,,,,
,,,,,,,,,,,,,,,,,,,,,0,эбэкээ,эһэ,медведь,288,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,элдэн,дьүкээбил уота,северное сияние,289,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,эт,эт,"1. мясо
2. тело",290,n,организм,,,,
,,,,,,,,,,,,,,,,,,,20,21,95,этимсэк,этимсэх,"мясоед; человек, любящий мясо",290,n,еда,,,,
,,,,,,,,,,,,,,,,,,,,,100,муос,муос,"рог, рога",291,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,көлүйэ,көлүйэ,озерцо,292,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,күөл,күөл,озеро,292,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,биэр,биэр,"1. давать (третьему лицу)
2. приносить, привозить (третьему лицу)",293,v,,,,,
,2,2,,,,,,,,,,,,,,,1,,7,12,58,эгэл,аҕал,"1. давать (собеседнику)
2. приносить, привозить (собеседнику)",293,v,,,,,
,,,,,,,,,,,,,,,,,,,,,100,ыл,ыл,"брать, взять, получать, принимать",294,v,,,,,
,,,,,,,,,,,,,,,,,,1,,,99,ыраак,ыраах,"далёкий, далеко",295,adj,наречие,гини ыраактан көстөр,кини ыраахтан көстөр,он виден издалека,
,,,,,,,,,,,,,,,,,,1,,,94,ыраактаагы,ыраахтааҕы,царь,295,n,занятия,,,,1
,,,,,,,,,,,,,1,,,,,,13,15,87,"һугас (ниж.)
чугас (верх.)","
чугас","близкий, близко",296,adj,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,100,көһүн,көһүн,"становиться видимым, показываться, виднеться",297,v,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,100,кус,кус,утка,298,n,животные,,,,
,,,,,,,,,,,,,,,,,,1,20,21,95,кутуйак,кутуйах,мышь,299,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,быа,сардаҥа,"луч, сияние",300,n,природа,күн быалара,күн сардаҥалара,солнечные лучи,
,,,,,,,,,,,,,,,,,,,,,100,быа,быа,верёвка,301,n,инструменты,,,,
,,,,,,,,,,,,,,,,1,,,5,6,83,һыа,сыа,"жир, сало, жирный, сальный",302,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,таӈас,таҥас,одежда,303,n,одежда,таӈастыын утуйабын,таҥастыын утуйабын,я сплю в одежде,
,,,,,,,,,,,,,,,,,,,,,100,таӈыннар,таҥыннар,одеть,303,v,одежда,огону таӈыннар,оҕону таҥыннар,одень ребёнка,
,,,,,,,,,,,,,,,,,,,,,100,таӈын,таҥын,одеться,303,v,одежда,ичигэстик таӈын,ичигэстик таҥын,тепло оденься,
,,,,,,,,,,,,,,,,,,,,,100,кэт,кэт,"надевать, носить",303,v,одежда,ытырга кэттим,,,
,,,,,,,,,,,,,,,,,,1,,,99,тараак,тараах,расчёска,304,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,100,тик,тик,шить,305,v,одежда,,,,
,,,,,,,,,,,,,,,,,,,,,100,того,тоҕо,"почему, отчего, зачем, для чего",306,pron,местоимение,,,,
,,,,,,,,,,,,,,,,,,,,,100,тоӈ,тоҥ,"1. мёрзнуть, замерзать, застывать
2. мёрзлый, мороженый",307,v,природа,"тоӈон өлбүт
тоӈ балык","тоҥон өлбүт
тоҥ балык","он замёрз насмерть
мороженая рыба",
,,,,,,,,,,,,,,,,,,,,,100,тоҥус,тоҥус,"эвенк, тунгус",308,n,общество,,,,
,,,,,,,,,,,,,,,,,,,,,100,тот,тот,"наедаться, насыщаться",309,v,еда,карагым тиэрэ тоттум ,,я наелся до отвала,
,,,,,,,,,,,,,,,,,,,,,100,тотоойу,тотоойу,"сытный, питательный, насыщающий",309,adj,еда,тотоойу ас,тотоойу аһылык,сытная еда,
,,,,,,,,,,,,,,,,,,,,,100,төлөө,төлөө,"платить, выплачивать, оплачивать",310,v,общество,иэһин төлөөбүтэ,иэһин төлөөбүтэ,он выплатил долг,
,,,,,,,,,,,,,,,,,,,,,100,туус,туус,соль,311,n,еда,,,,
,,,,,,,,,,,,,,,,,,,,,100,туустаа,туустаа,солить,311,v,еда,,,,
,,,,,,,,,1,,,,,,,,,,,,95,тууччут,туусчут,любящий соль (о животных),311,n,оленеводство,тууччут таба,туусчут таба,"олень, любящий есть соль",
,,,,,,,,,,,,,,,,,,,,,45,,туусчут,солевар,311,n,занятия,,туусчуттары дьаһайар тойон,"начальник, отвечающий за солеваров",
,,,,,,,,,,,,,,,,,,,,,100,илии,илии,"рука, кисть",312,n,организм,,,,
,,,1,,,,,,,,,,,,,,,,11,12,92,эмий,эмиий,грудь (женская),313,n,организм,"эмий уутэ (ниж.)
эмий (верх.)",эмиий уутэ,грудное молоко,
,,,,,,,,,,,,,,,,,,,,,100,түөс,түөс,"грудь, грудная клетка, грудинка",314,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,түргэн,түргэн,"быстрый, скорый",315,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,100,эмиэ,эмиэ,"1. опять, снова, ещё раз
2. тоже",316,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,100,киһи,киһи,человек,318,n,отношения,,,,
,,,,,,,,,,,,,,,,,,,,,100,эр,эр,муж,318,n,отношения,,,,
,,,,,,,,,,,,,,,,,,,,,100,эр киһи,эр киһи,мужчина,318,n.cmp,отношения,,,,
,,,,,,,,,,,,,,,,,,1,,,99,тыыннаак,тыыннаах,живой,319,adj,физические качества,гини кэргэттэрэ аны дааганы тыыннаактар,кини төрөппүттэрэ билигин даҕаны тыыннаахтар,его родители даже ещё живы,
,,,,,,,,,,,,,,,,,,,,,100,"эрэ 
ирэ (верх.)","эрэ
ирэ",только ,320,part,частица,,,,
,,,,,,,,,,,,,,,,,,,,,100,уйа,уйа,гнездо,321,n,животные,чыычаак уйа оӈостубута,чыычаах уйа оҥостубута,птица свела себе гнездо,
,,,,,,,,,,,,,,,,,,,,,100,атын,атын,"другой, иной; чужой",322,adj,,,,,
,,,,,,,,,,,,,,,,,,,,,100,ук,ук,"класть, положить, ставить (во внутрь); вкладывать, всовывать",323,v,,,,,
,,,,,,,,,,,,,,,,,,,,,100,уур,уур,"класть, положить, ставить (на поверхность)",323,v,,,,,
,,,,,,,,,,,,,,,,,,,,,100,кыын,кыын,ножны,324,n,инструменты,баһагын кыыныгар укта ,быһаҕын кыыныгар укта ,он вложил нож в ножны,
,,,,,,,,,,,,,,,,,,,,,100,уос,уос,"губа, губы; рот; ствол ружья",325,n,организм,уостарын һоттоон остоолтан турдулар,уостарын cоттоон остуолтан турдулар,"вытерев губы, они встали из-за стола",
,,,,,,,,,,,,,,,,,,,8,9,89,һир,сир,"земля, место",326,n,,,,,
,,,,,,,,,,,,,,,,,,,,,95,оӈуок,уҥуох,"1. кость
2. могила",327,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,ороо,ороо,"вынимать, вытаскивать, доставать",328,v,,,,,
,,,,,,,,,,,,,,,,,,,,,100,кур,кур,"пояс, ремень",329,n,,,,,
,,,,,,,,,,,,,,,,,,,,,0,паскаал <sup>рус</sup>,,календарь,330,n,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,халандаар <sup>рус</sup>,календарь,330,n,,,,,
,,,,,,,,,,,,,,,,,,,,,100,этиӈ,этиҥ,гром,331,n,природа,этиӈ этэр,этиҥ этэрин,гром гремит,
,,,,,,,,,,,,,,,,,,,,,0,этиӈ уота,чаҕылҕан,молния,331,n,природа,этиӈ уота маһы оксубут,чаҕылҕан маһы охсубут,молния ударила в дерево,
,,,,,,,,,,,,,,,,,,,,,0,чорчокоот,,"короткие бакари, торбаса из камусов",332,n,одежда,,,,
,,,,,,,,,,,,,,,,,,,,,100,этэрбэс,этэрбэс,"высокие бакари, торбаса из камусов",332,n,одежда,таба тыһа этэрбэс,таба тыһа этэрбэс,торбаса из оленьего камуса,
,,,,,,,,,,,,,,,,,,,,,100,былыт,былыт,"облако, туча",333,n,природа,көтөр былыттар үрдүлэригэр көтөн ааспыт,көтөр былыттар үрдүлэринэн көтөн ааспыт,птица полетела над облаками,
,1,,,,,,,,,,,,,,,,,1,,,94,барак,бырах,"бросать, кидать, метать",334,v,,,,,
,,,,,,,,,,,,,,,,,,1,,,99,бараксан <sup>Монг</sup>,барахсан <sup>Монг</sup>,"1. бедный, бедняга
2. милый",335,n,качества человека,"бараксаны киһи аһыныак
кыыс бараксан, миниэкэ көмөлөс","барахсаны киһи аһыныах
кыыс барахсан, миэхэ көмөлөс","как жалко его бедного
милая девушка, помоги мне",
,,,,,,,,,,,,,,,,,,1,,,49,,муҥнаах,мучительный,335,adj,,,муҥнаах улэ,мучительная работа,
,,,,,,,,,,,,,,,,,,1,,,99,муӈнаак,муҥнаах,"бедный, бедняга, мученик, страдалец",335,n,качества человека,дьактаттар муӈнаактар ытаналлара,дьахталлар муҥнаактар ытыыллар,женщины-страдалицы плачутся,
,,,,,,,,,,,,,,,,1,,1,,,94,һордоок,сордоох,"бедный, бедняга, несчастный, горемычный",335,n,качества человека,,,,
,,,,,,,,,,,,,,,,,,1,,,99,эрэйдээк,эрэйдээх,"бедный, бедняга, несчастный, горемычный",335,n,качества человека,эрэйдээк һылайбыт,эрэйдээх сылайбыт,бедняга устал,
,1,,,,,,,,,,,,,,,,,1,,,94,баһак,быһах,нож,336,n,инструменты,баһак уба ,быһах уга ,рукоятка ножа,
,,,,,1,,,,,,,,,,,,,,,,0,кыра быһах,"быһыйа, быһычча",ножичек,336,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,0,корт гыннар,,"заколоть, зарезать",337,v.cmp,инструменты,"тугуккаанын кабан ылан, быһаккааны ылла да корт гыннарар өлөрөн кээспит",,"схватив оленёнка, он взял нож и зарезал его",
,,,,,,,,,,,,,,,,,,,,,0,ньылчагай,инчэҕэй,мокрый,338,adj,физические качества,ньылчагай таӈас,инчэҕэй таҥас ,мокрая одежда,
,,,,,,,,,,,,,,,,,,,,,0,лэӈкэй,,полярная сова,339,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,,ханчаала,полярная сова,339,n,животные,һугас лэӈкэй чаакыныыр,,рядом кричит полярная сова,
,,,,,,,,,,,,,,,,,,,,,0,,хаар эбэ,полярная сова,339,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,тиис,тиис,зуб,340,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,кэһии,кэһии,"гостинец, маленький подарок",341,n,отношения,ыалдьыттар кэһиитэ һуок кэлээччитэ һуоктар,ыалдьыттар кэһиитэ суох кэлээччитэ суохтар,гости без гостинцев не приходят,
,,,1,,,,,,,,,,,,,,,,17,18,94,кыптый,кыптыый,ножницы,342,n,инструменты,тириини ыраастаан баран кыптыйынан түүтүн кырыйаллар,тириини ыраастаан баран кыптыйыынан түүтүн кырыйаллар,"очистив шкуру, подрезают ворс",
,,,,,,,,,,,,,,,,,,,,,0,мөӈ,мэниктээ,"баловаться, резвиться",343,v,дети,уол ого мөӈөр,уол оҕо мэниктиир,мальчик балуется,
,,,,,,,,,,,,,,,,,,,,,0,мөӈтөр,эйэҥнэт,качать,343,v,,остуолу мөӈтөрүмэ,остуолу эйэҥнэтимэ,не качай стол,
,,,,,,,,,,,,,,,,,,,,,100,тэп,тэп,"пинать, лягать",344,v,,,,,
,,,,,,,,,,,,,,,,,,,,,100,тэпсэӈнээ,тэпсэҥнээ,топтаться,344,v,,биир һиргэ тэпсэӈнии турабын,биир сиргэ тэпсэҥнии турабын ,я стою топчусь на месте,
,,,,,,,,,,,,,,,,,,,,,100,тэбис,тэбис,топтать,344,v,глаголы звучания,чэбэр муостаны тэпсэн ааста,ыраас муостаны тэпсэн ааста,"он прошёл, топча чистый пол",
,,,,,,,,,,,,,,,,,,,,,100,тыас,тыас,"шум, звук",346,n,,,,,
,,,,,,,,,,,,,,,,,,,,,100,тыал,тыал,ветер,347,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,түү,түү,"пух, перья; шерсть, мех",348,n,животные,,,,
,,,,,,,,,,,,,,,,,,,11,12,92,үлгээ,үргээ,"ощипывать, выщипывать",349,v,животные,,,,
,,,,,,,,,,,,,,,,,,,12,15,80,угураа,уураа,целовать,350,v,отношения,оготун угураата,оҕотун уураата,он поцеловал своего ребёнка,
,,,,,,,,,,,,,,,,,,,15,18,83,угурас,уурас,целоваться,350,v,отношения,куустуһан угурастылар,куустуһан уурастылар,"обнявшись, они поцеловались",
,,,,,,,,,,,,,,,,,,,14,15,93,һыллаа,сыллаа,"1. нюхать
2. целовать, прикасаться носом, губами в знак любви",350,v,отношения,ыт кыыл һуолун һыттыы һатыыр,ыт кыыл суолун сыттыы сатыыр,собака пытается разнюхать след зверя,
,,,,,,,,,,,,,,,,,,,,,100,тэӈ,тэҥ,"ровный, равный, одинаковый",351,adj,,,,,
,,,,,,,,,,,,,,,,,,,,,100,уус,уус,"мастер, мастерица",352,n,занятия,,,,
,,,,,,,,,,,,,,,,,,,,,100,обот,обот,"ненасытный, обжора",353,n,,,,,1
,,,,,,,,,,,,,,,,,,,,,100,обор,обор,"сосать, высасывать, засасывать",353,v,,,,,
,,,,,,,,,,,,,,,,,,,,,100,үүт,үүт,молоко,354,n,еда,,,,
,,,,,,,,,,,,,,,,,,,,,100,кырса <sup>Монг</sup>,кырса <sup>Монг</sup>,песец,355,n,животные,кырса һуорган,кырса суорҕан,песцовое одеяло,
,,,,,,,,,,,,,,,,,,,,,100,бултаа,бултаа,"охотиться, промышлять, добывать",356,v,охота,,,,
,,,,,,,,,,,,,,,,,,,,,100,булт,булт,"добыча, промысел, охота",356,n,охота,,,,
,,,,,,,,,,,,,,,,,,,,,100,булчут,булчут,охотник,356,n,охота,булчут ыт,булчут ыт,охотничья собака,
,,,,,,,,,,,,,,,,,,,,,100,мас,мас,"дерево, палка, дрова",357,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,мастаа,мастаа,заготавливать дрова,357,v,природа,,,,
,,,,,,,,,,,,,,,,,,,,,0,иргэ <sup>эвенк</sup> ,,мозг,358,n,организм,һаһыл ого мэньиитэ улакан киһи гиэниттээгэр алтаннан кыра,,мозг младенца в шесть раз меньше мозга взрослого человека,
,,,,,,,,,,,,,,,,,,,5,12,42,мэньии,мэйии,"мозг (һакалыы)
голова (сахалыы)",358,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,0,,бас,голова,358,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,50,төбө,төбө,"макушка, темя (һакалыы)
голова (сахалыы)",358,n,организм,мэньиим ыарыйда,баһым ыарыйда,у меня заболела голова,
,,,,,,,,,,,,,,,,,,,,,0,,орой,"макушка, темя",358,n,организм,төбөм кыһыйар,оройом кыһыйар,у меня чешется макушка,
,,,,,,,,,,,,,,,,,,,,,100,төбө,төбө,"верхушка, кончик",358,n,организм,куобак кулгаагын төбөтө кара,куобах кулгааҕын төбөтө хара,кончики ушей зайца чёрные,
,,,,,,,,,,,,,,,,,,,,,100,ос,ос,заживать,359,v,организм,,,,
,,,,,,,,,,,,,,,,,,,,,0,ос,үтүөр,"выздоравливать, поправляться, вылечиваться",359,v,организм,,,,
,,,,,,,,,,,,,,,,,,1,,,99,оһок,оһох,печь,360,n,дом,оһок һабыыта ,оһох сабыыта ,печная заслонка,
,,,,,,,,,,,,,,,,,,1,,,99,кулгаак,кулгаах,ухо,361,n,организм,таба кулгаага имнээк,таба кулгааҕа имнээх,ухо оленя имеет метку,
,,,,,,,,,,,,,,,,,,,,,100,им,им,"метка, клеймо",362,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,100,бэлиэ,бэлиэ,"отметка, метка",363,n,оленеводство,,,,
,,,,,,,,,,,,,,,,,,1,14,15,93,"бэлэк <sup>Тюрк, Монг</sup>","бэлэх <sup>Тюрк, Монг</sup>",подарок,364,n,отношения,ити бэлэги уолугар биэриэ,ити бэлэҕи уолугар биэриэ,этот подарок он сыну отдаст,
,,,,,,,,,,,,,,,,,,1,20,21,95,"бэлэктээ <sup>Тюрк, Монг</sup>","бэлэхтээ <sup>Тюрк, Монг</sup>",дарить,364,v,отношения,балык биэрээри уу иччитигэр бэлэктиир,балык биэрээри уу иччитигэр бэлэхтиир,"он духа воды одаривает, чтобы тот рыбы дал",
,,,,,,,,,,,,,,,,,,,,,85,гаһиэта <sup>рус</sup>,хаһыат <sup>рус</sup>,газета,365,n,общество,,,,
,,,,,,,,,,,,,,,,,,,,,100,долгун <sup>Монг</sup>,долгун <sup>Монг</sup>,волна,366,n,природа,,,,
,,,,,,,,,,,,,,,,,,1,,,99,кумак,кумах,песок,367,n,природа,,,,
,,,,,,,,,1,,,,,,,,,,,,95,лаапкы <sup>рус</sup>,лааппы <sup>рус</sup>,"магазин, лавка",368,n,общество,,,,
,,,,,,,,,,,,,,,,,,,,,100,кэм,кэм,"время, пора, срок",369,n,время,,,,
,,,,,,,,,,,,,,,1,,,1,12,15,80,карак,харах,глаз,370,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,долуой <sup>рус</sup>,долуой <sup>рус</sup>,"совсем, вовсе",371,adv,наречие,оччого мин дааганы долуой ого этим,оччоҕо мин даҕаны долуой оҕо этим,я тогда был совсем ребёнком,
,,,,,,,,,,,,,,,,,,,,,100,кир,кир,грязь,372,n,природа,,,,
,,,,,,,,,,,,,,,,,,1,17,18,94,кирдээк,кирдээх,грязный,372,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,100,киэӈ,киэҥ,"широкий, просторный, обширный",373,adj,физические качества,,,,
,,,,,,,,,,,,,,,1,,,,13,15,87,койут,хойут,"потом, после, позднее",374,adv,наречие,,,,
,,,,,,,,,,,,,,,,,,,,,100,уот,уот,"огонь, пламя; свет",375,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,дьүһүн,дьүһүн,"вид, внешность, облик",376,n,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,0,боскуой <sup>рус</sup>,,красивый,377,adj,физические качества,боскуой дьүһүннээх киһи,,человек с красивой внешностью,
,,,,,,,,,,,,,,,,,,,,,0,,кэрэ,красивый,377,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,0,дьүдэӈи,,"грязный, нечистоплотный, неопрятный",378,adj,качества человека,,,,
,,,,,,,,,,,,,,,,,,,,,100,дэм,дэм,преувеличение,379,n,,ама дэм!,ама дэм!,что за преувеличение!,
,,,,,,,,,,,,,,,,,,,,,100,дэмнээ ,дэмнээ ,преувеличивать,379,v,,"дэмнээмэ, туох да буолуо һуога","дэмнээмэ, туох да буолуо суоҕа","не преувеличивай, ничего не случится",
,,,,,,,,,,,,,,,,,,,,,100,иик,иик,моча,380,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,ииктээ,ииктээ,мочиться,380,v,организм,,,,
,,,,,,,,,,,,,,,,,,,,,100,ытаа,ытаа,плакать,381,v,эмоции и чувства,,,,
,,,,,,,,,,,,,,,,,,1,,,99,ытанньак,ытанньах,плакса,381,n,эмоции и чувства,,,,
,,,,,,,,,,,,,,,1,,,,13,15,87,карбаа,харбаа,плавать,382,v,глаголы движения,үрэги быһа карбаатым,өрүһү быһа харбаатым,я переплыл реку,
,,,,,,,,,,,,,,,,,,,,,100,кыыл,кыыл,"1. зверь, животное
2. дикий олень, лось",383,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,50,кыыллаа,кыыллаа,"охотиться на дикого оленя, лося (һакалыы)
преследовать, отпугивать (сахалыы)",383,v,охота,кыыллыы барда,сүөһүнү кыыллаама,"он уехал охотиться на дикого оленя
не отпугивай скот",
,,,,,,,,,,,,,,,1,,,,19,21,90,катырык,хатырык,"1. чешуя
2. кора",384,n,"животные, растения",,,,
,,,,,,,,,,,,,,,1,,,,13,15,87,катыыс,хатыыс,осётр,385,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,"һар, боролдуо",хотой,орёл,386,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,кыырт,кыырт,ястреб,389,n,животные,,,,
,,,,,,,,,,,,,,,,1,,,14,15,93,һүүтүк,сүүтүк,напёрсток,390,n,инструменты,һүүтүгэ һуок кыайан тиктибэппин,сүүтүгэ суох кыайан тиктибэппин,я не могу шить без напёрстка,
,,,,,,,,,,,,,,,,1,,,14,15,93,һылаас,сылаас,"тёплый, тепло",391,adj,физические качества,һылаас ууннан һуунабын,сылаас уунан суунабын,я умываюсь тёплой водой,
,,,,,,,,,,,,,,,,1,,,17,18,94,һэӈийэ,сэҥийэ,подбородок,392,n,организм,,,,
,,,,,,,,,,,,,,,,,,,,,0,һэӈийэ каата,,"платок, скрывающий подбородок",392,MWE,одежда,,,,
,,,,,,,,,,,,,,,,,,,,,0,һэӈкирэ <sup>эвенк</sup>,,багульник,393,n,растения,,,,
,,,,,,,,,,,,,,,,,,,,,0,,сугун абаҕата,багульник,393,n,растения,,,,
,,,,,,,,,,,,,,,,,,,,,95,һэппэрээк (верх.),сэппэрээк ,багульник,393,n,растения,,,,
,,,,,,,,,,,,,,,,,,,,,100,этэӈӈэ,этэӈӈэ,"1. благополучно, хорошо
2. пожелание всего доброго",394,adv,,этэӈӈэ буоллакка,этэҥҥэ буоллакка,если всё хорошо сложится,
,,,,,,,,,,,,,,,,,,,,,0,дуу,эбэтэр,или,395,conj,,"киир дуу, тагыс дуу",киир эбэтэр таҕыс,входи или уходи,
,,,,,,,,,,,,,,,1,,,,7,9,78,каан,хаан,кровь,396,n,,,,,
,,,,,,,,,,,,,,,,,,,,,100,һугун,отон,ягода,397,n,,,,,
,,,,,,,,,,,,,,,,1,,,,,0,һугун,cугун,голубика,397,n,,,,,
,,,,,,,,,,,,,,,,1,,,14,15,93,һаарат,саарат,"останавливать, препятствовать, мешать",398,v,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,көм,хоронить,399,v,,догорбун карайбытым,доҕорбун көммүтүм,я похоронил своего друга,
,,,,,,,,,,,,,,,1,,,,13,15,87,карай <sup>эвенк</sup>,харай <sup>эвенк</sup>,"сохранять, беречь; заботиться, ухаживать",399,v,,уол балтын карайар,уол балтын харайар,мальчик заботиться о своей младшей сестре,
,,,,,,,,,,,,,,,,,,,,,100,итир,итир,"опьянеть, охмелеть",400,v,,түргэнник итирээри гыммыппын,,я быстро опьянел,
,,,,,,,,,,,,,,,,,,,,,100,итирик,итирик,пьяный,400,adj,,,,,
,,,,,,,,,,1,,,,,1,,,,19,22,86,колуоччук,холуочук,"подвыпивший, навеселе",400,adj,,колуоччук ыллаабыт,,он пел подвыпивший,
,,,,,,,,,,,,,,,1,,,,,,85,каариэн,хаарыаны,"как жалко, как жаль",401,intj,,,,,
,,,,,,,,,,,,,,,1,,,,,,90,каариэн,хаарыан,"тот, который дорог",401,adj,,каариэн киһи өлөн каалла,,"человек, который был дорог, умер",
,,,,,,,,,,,,,,,,,,,,,0,пороо <sup>нган</sup>,,"худой, тощий",402,adj,,,,,
,,,,,,,,,,,,,,,,,,,,,0,,дьүдэх,"худой, тощий",402,adj,,,,,
,,,,,,,,,,,,,,,,,,,,,100,ытыс,ытыс,"ладонь, горсть",403,n,,биир ытыһы кут,биир ытыһы кут,насыпь одну горсть,
,,,,,,,,,,,,,,,,,,,,,0,үрэк киириитэ,өрүс үөһэ / сүлбэтэ / хаата / сүнньэ,русло реки,404,n,природа,,,,
,,,,,,,,,,,,,,,,,,,,,100,эдэр,эдэр,"молодой, юный",405,adj,физические качества,эдэр эрдэкпинэ карчы туһунан һанаабат этим,эдэр эрдэхпинэ харчы туһунан санаабат этим,"когда я был молодым, я не думал о деньгах",
,,,,,,,,,,,,,,,,,,,,,100,эмэһэ,эмэһэ,"попа, задница, зад",406,n,организм,ого эмэһэтин таһыйбыта,оҕо эмэһэтин таһыйбыта,он отшлёпал ребёнка по попе,
,,,,,,,,,,,,,,,,,,1,,,89,тоӈолок,тоҕонох,локоть,407,n,организм,тоӈолок оӈуога,тоҕонох уҥуоҕа ,локтевая кость,
,,,,,,,,,,,,,,1,,,,,11,12,92,убай,умай,гореть,408,v,,уота боскуой багайдык убайар,уота олус кэрэтик умайар,его огонь очень красиво горит,
